episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
1,MAFRL-DDQN,0.029744,1.363413,1.361871,0.001542,4,0,4
2,MAFRL-DDQN,0.077437,0.792411,0.791265,0.001146,1,1,0
3,MAFRL-DDQN,0.026461,0.780786,0.779023,0.001762,6,4,2
4,MAFRL-DDQN,0.060839,1.145098,1.143511,0.001587,1,0,1
5,MAFRL-DDQN,0.043485,0.800853,0.799498,0.001355,3,3,0
6,MAFRL-DDQN,0.050354,0.987195,0.98578,0.001415,2,2,0
7,MAFRL-DDQN,0.071439,0.901199,0.899647,0.001552,1,0,1
8,MAFRL-DDQN,0.041371,0.918069,0.917053,0.001016,3,3,0
9,MAFRL-DDQN,0.050463,0.98341,0.98146,0.00195,2,1,1
10,MAFRL-DDQN,0.038739,1.083727,1.081095,0.002631,3,1,2
11,MAFRL-DDQN,0.062249,1.107569,1.106325,0.001244,1,1,0
12,MAFRL-DDQN,0.026482,0.776704,0.776011,0.000693,6,6,0
13,MAFRL-DDQN,0.031346,0.691045,0.690132,0.000913,5,5,0
14,MAFRL-DDQN,0.084073,1.190652,1.189308,0.001344,0,0,0
15,MAFRL-DDQN,0.047102,1.124522,1.12291,0.001612,2,2,0
16,MAFRL-DDQN,0.050091,0.997659,0.996204,0.001455,2,1,1
17,MAFRL-DDQN,0.026167,0.822332,0.821446,0.000886,6,5,1
18,MAFRL-DDQN,0.048371,1.068867,1.067204,0.001663,2,1,1
19,MAFRL-DDQN,0.036617,1.232376,1.230784,0.001591,3,1,2
20,MAFRL-DDQN,0.0309,1.238145,1.236059,0.002086,4,2,2
21,MAFRL-DDQN,0.022878,0.871832,0.870952,0.00088,7,5,2
22,MAFRL-DDQN,0.060176,1.16332,1.161613,0.001707,1,1,0
23,MAFRL-DDQN,0.049392,1.025872,1.024491,0.001382,2,2,0
24,MAFRL-DDQN,0.028805,0.97242,0.971472,0.000948,5,4,1
25,MAFRL-DDQN,0.072318,0.883876,0.88266,0.001216,1,1,0
26,MAFRL-DDQN,0.06352,1.075867,1.074134,0.001733,1,0,1
27,MAFRL-DDQN,0.031181,0.708226,0.707,0.001226,5,5,0
28,MAFRL-DDQN,0.080382,0.745324,0.743927,0.001397,1,1,0
29,MAFRL-DDQN,0.051107,0.957549,0.956593,0.000956,2,2,0
30,MAFRL-DDQN,0.041477,0.91191,0.910898,0.001013,3,3,0
31,MAFRL-DDQN,0.051828,0.930421,0.929337,0.001084,2,2,0
32,MAFRL-DDQN,0.039985,1.002524,1.00079,0.001734,3,2,1
33,MAFRL-DDQN,0.029718,0.866594,0.864837,0.001757,5,4,1
34,MAFRL-DDQN,0.023919,0.681075,0.680669,0.000406,7,7,0
35,MAFRL-DDQN,0.030046,0.828968,0.828192,0.000776,5,4,1
36,MAFRL-DDQN,0.056503,0.77083,0.769711,0.001119,2,2,0
37,MAFRL-DDQN,0.032853,1.044768,1.043728,0.001039,4,3,1
38,MAFRL-DDQN,0.060556,1.152476,1.151236,0.00124,1,1,0
39,MAFRL-DDQN,0.027845,1.092068,1.091167,0.000901,5,2,3
40,MAFRL-DDQN,0.038538,1.096134,1.094669,0.001465,3,1,2
41,MAFRL-DDQN,0.029476,0.893169,0.892536,0.000633,5,4,1
42,MAFRL-DDQN,0.060849,1.144863,1.143242,0.001621,1,1,0
43,MAFRL-DDQN,0.04595,1.177279,1.176151,0.001128,2,1,1
44,MAFRL-DDQN,0.033829,0.957156,0.955899,0.001256,4,3,1
45,MAFRL-DDQN,0.050394,0.985167,0.984292,0.000875,2,2,0
46,MAFRL-DDQN,0.035349,0.830075,0.828842,0.001233,4,4,0
47,MAFRL-DDQN,0.034896,0.866516,0.865558,0.000958,4,4,0
