episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
1,MAFRL,0.042038,1.379727,1.378666,0.001061,2,1,1
2,MAFRL,0.061682,1.122478,1.121066,0.001412,1,1,0
3,MAFRL,0.059293,1.187761,1.186406,0.001355,1,0,1
4,MAFRL,0.05746,1.242354,1.240107,0.002247,1,1,0
5,MAFRL,0.074613,1.342501,1.34,0.002501,0,0,0
6,MAFRL,0.042732,1.341887,1.34,0.001887,2,0,2
7,MAFRL,0.099976,1.002353,1.0,0.002353,0,0,0
8,MAFRL,0.037592,1.661526,1.66,0.001526,2,0,2
9,MAFRL,0.048461,1.065593,1.063299,0.002295,2,2,0
10,MAFRL,0.059515,1.182364,1.18,0.002364,1,0,1
11,MAFRL,0.057229,1.249861,1.247096,0.002765,1,0,1
12,MAFRL,0.035577,1.312237,1.310638,0.001599,3,1,2
13,MAFRL,0.081958,1.221446,1.22,0.001446,0,0,0
14,MAFRL,0.047613,1.101464,1.100141,0.001324,2,1,1
15,MAFRL,0.031346,1.191177,1.190051,0.001126,4,2,2
16,MAFRL,0.054938,1.322293,1.32,0.002293,1,0,1
17,MAFRL,0.042785,1.338501,1.337114,0.001387,2,1,1
18,MAFRL,0.09395,1.067016,1.0641,0.002916,0,0,0
19,MAFRL,0.089411,1.120043,1.118255,0.001788,0,0,0
20,MAFRL,0.078607,1.273421,1.272002,0.00142,0,0,0
21,MAFRL,0.054652,1.331248,1.329611,0.001637,1,0,1
22,MAFRL,0.056174,1.281691,1.28,0.001691,1,0,1
23,MAFRL,0.068709,0.957011,0.955247,0.001765,1,1,0
24,MAFRL,0.037633,1.158958,1.157046,0.001912,3,1,2
25,MAFRL,0.079353,1.261935,1.26,0.001935,0,0,0
26,MAFRL,0.056812,1.262047,1.26,0.002047,1,0,1
27,MAFRL,0.034805,0.874994,0.872942,0.002052,4,3,1
28,MAFRL,0.0431,1.32114,1.320054,0.001087,2,1,1
29,MAFRL,0.043354,1.308506,1.306406,0.0021,2,1,1
30,MAFRL,0.063279,1.083136,1.08,0.003136,1,0,1
31,MAFRL,0.0462,1.166529,1.164257,0.002272,2,1,1
32,MAFRL,0.046548,1.149368,1.148183,0.001186,2,1,1
33,MAFRL,0.073522,0.861314,0.86,0.001314,1,0,1
34,MAFRL,0.047094,1.12488,1.123245,0.001635,2,1,1
35,MAFRL,0.042745,1.341736,1.339214,0.002523,2,1,1
36,MAFRL,0.040978,1.443301,1.44,0.003301,2,0,2
37,MAFRL,0.045566,1.196025,1.19447,0.001555,2,1,1
38,MAFRL,0.080573,1.242424,1.240959,0.001466,0,0,0
39,MAFRL,0.080011,1.251136,1.249679,0.001457,0,0,0
40,MAFRL,0.044638,1.241808,1.240054,0.001754,2,1,1
41,MAFRL,0.076703,1.304729,1.303615,0.001114,0,0,0
42,MAFRL,0.05491,1.322953,1.320959,0.001995,1,1,0
43,MAFRL,0.072452,1.382215,1.38,0.002215,0,0,0
44,MAFRL,0.053759,1.361626,1.36,0.001626,1,0,1
45,MAFRL,0.056882,1.259124,1.257896,0.001228,1,1,0
46,MAFRL,0.059517,1.181767,1.180033,0.001734,1,1,0
47,MAFRL,0.088878,1.127037,1.124928,0.00211,0,0,0
48,MAFRL,0.045205,1.213307,1.212002,0.001305,2,0,2
49,MAFRL,0.062215,1.10943,1.107096,0.002334,1,0,1
50,MAFRL,0.056074,1.284462,1.283245,0.001217,1,0,1
51,MAFRL,0.086192,1.161951,1.16,0.001951,0,0,0
52,MAFRL,0.065161,1.036003,1.034504,0.001499,1,1,0
53,MAFRL,0.046412,1.156797,1.154363,0.002434,2,0,2
54,MAFRL,0.045042,1.22133,1.22,0.00133,2,0,2
55,MAFRL,0.038599,1.091932,1.090638,0.001294,3,1,2
56,MAFRL,0.045697,1.189937,1.188173,0.001764,2,2,0
57,MAFRL,0.063184,1.083855,1.08256,0.001296,1,1,0
58,MAFRL,0.044106,1.268628,1.267096,0.001532,2,0,2
59,MAFRL,0.044447,1.251664,1.249679,0.001985,2,0,2
60,MAFRL,0.097028,1.032071,1.030472,0.001599,0,0,0
61,MAFRL,0.074714,1.34009,1.338255,0.001835,0,0,0
62,MAFRL,0.048767,1.051756,1.050451,0.001305,2,1,1
63,MAFRL,0.059406,1.18491,1.183161,0.001749,1,0,1
64,MAFRL,0.107835,0.929587,0.927096,0.002491,0,0,0
65,MAFRL,0.054761,1.328208,1.325887,0.002321,1,1,0
66,MAFRL,0.039943,1.004653,1.003439,0.001214,3,3,0
67,MAFRL,0.030485,0.781206,0.780166,0.001039,5,3,2
68,MAFRL,0.047433,1.109534,1.108089,0.001445,2,1,1
69,MAFRL,0.059517,1.181502,1.180054,0.001448,1,1,0
70,MAFRL,0.035548,1.314688,1.312924,0.001764,3,1,2
71,MAFRL,0.056814,1.261195,1.26,0.001195,1,0,1
72,MAFRL,0.046087,1.171645,1.169611,0.002034,2,0,2
73,MAFRL,0.043414,1.305,1.303215,0.001785,2,2,0
74,MAFRL,0.035157,1.34581,1.344204,0.001607,3,1,2
75,MAFRL,0.052076,1.421559,1.420141,0.001418,1,1,0
76,MAFRL,0.058487,1.21134,1.209611,0.001729,1,0,1
77,MAFRL,0.06409,1.062203,1.060107,0.002096,1,1,0
78,MAFRL,0.037311,1.182086,1.18,0.002086,3,0,3
79,MAFRL,0.03661,1.233118,1.231332,0.001786,3,3,0
80,MAFRL,0.036167,1.26645,1.264827,0.001624,3,1,2
81,MAFRL,0.042731,1.341932,1.340033,0.001899,2,1,1
82,MAFRL,0.059217,1.190212,1.188543,0.001669,1,0,1
83,MAFRL,0.051995,1.424249,1.423161,0.001088,1,0,1
84,MAFRL,0.051541,1.442051,1.44,0.002051,1,0,1
85,MAFRL,0.032427,1.084923,1.08371,0.001214,4,2,2
86,MAFRL,0.081483,1.228664,1.227096,0.001568,0,0,0
87,MAFRL,0.069887,1.432466,1.430711,0.001755,0,0,0
88,MAFRL,0.045251,1.211728,1.209679,0.002049,2,0,2
89,MAFRL,0.084902,1.179608,1.177632,0.001977,0,0,0
90,MAFRL,0.045378,1.204862,1.203572,0.00129,2,2,0
91,MAFRL,0.059599,1.179692,1.177685,0.002006,1,1,0
92,MAFRL,0.067108,0.991918,0.989944,0.001975,1,1,0
93,MAFRL,0.086189,1.162432,1.16,0.002432,0,0,0
94,MAFRL,0.056575,1.26933,1.26736,0.00197,1,1,0
95,MAFRL,0.058811,1.202409,1.200141,0.002268,1,1,0
96,MAFRL,0.078115,1.28168,1.28,0.00168,0,0,0
97,MAFRL,0.041663,1.402144,1.4,0.002144,2,0,2
98,MAFRL,0.036714,1.225801,1.223542,0.002259,3,3,0
99,MAFRL,0.036399,1.249266,1.247096,0.00217,3,0,3
100,MAFRL,0.049993,1.502958,1.5,0.002958,1,0,1
101,MAFRL,0.050771,0.97062,0.969527,0.001093,2,2,0
102,MAFRL,0.031808,1.146372,1.143533,0.002839,4,3,1
103,MAFRL,0.053157,1.383484,1.380959,0.002526,1,1,0
104,MAFRL,0.051531,1.443386,1.440264,0.003122,1,1,0
105,MAFRL,0.057227,1.249724,1.24717,0.002554,1,0,1
106,MAFRL,0.060201,1.162366,1.160959,0.001407,1,1,0
107,MAFRL,0.05678,1.263301,1.260959,0.002342,1,0,1
108,MAFRL,0.030268,1.305131,1.303648,0.001483,4,1,3
109,MAFRL,0.045863,1.182727,1.180141,0.002587,2,1,1
110,MAFRL,0.031444,1.182267,1.18,0.002267,4,0,4
111,MAFRL,0.043475,1.301732,1.3,0.001732,2,0,2
112,MAFRL,0.055386,1.30691,1.305351,0.001559,1,0,1
113,MAFRL,0.04795,1.086977,1.085339,0.001638,2,1,1
114,MAFRL,0.065195,1.035545,1.033668,0.001878,1,0,1
115,MAFRL,0.062046,1.113655,1.111499,0.002155,1,0,1
116,MAFRL,0.056164,1.281339,1.280411,0.000927,1,1,0
117,MAFRL,0.044703,1.238829,1.236781,0.002048,2,1,1
118,MAFRL,0.036449,1.245855,1.243302,0.002553,3,2,1
119,MAFRL,0.044542,1.246281,1.244928,0.001353,2,0,2
120,MAFRL,0.03672,1.224666,1.223161,0.001505,3,1,2
121,MAFRL,0.048399,1.067804,1.065961,0.001843,2,2,0
122,MAFRL,0.056577,1.270199,1.267203,0.002996,1,1,0
123,MAFRL,0.064928,1.041331,1.040033,0.001298,1,1,0
124,MAFRL,0.052676,1.399685,1.398255,0.00143,1,0,1
125,MAFRL,0.03554,1.31561,1.313502,0.002109,3,1,2
