episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
0,MARL,0.009438,6.119511,6.092386,0.027125,9,4,5
1,MARL,0.008907,6.258639,6.22411,0.034529,10,5,5
2,MARL,0.013757,5.79345,5.766511,0.02694,3,2,1
3,MARL,0.008741,5.968156,5.937199,0.030957,11,4,7
4,MARL,0.009449,6.614275,6.580246,0.034029,8,3,5
5,MARL,0.011829,5.979165,5.950693,0.028472,5,3,2
6,MARL,0.01051,5.5418,5.511512,0.030287,8,5,3
7,MARL,0.010606,5.457426,5.425518,0.031908,8,6,2
8,MARL,0.011034,6.095551,6.059423,0.036129,6,4,2
9,MARL,0.010129,5.910228,5.868034,0.042194,8,6,2
10,MARL,0.009343,5.732687,5.699643,0.033044,10,4,6
11,MARL,0.012709,5.903484,5.864239,0.039245,4,3,1
12,MARL,0.013289,6.055954,6.021521,0.034433,3,0,3
13,MARL,0.010257,5.775524,5.746604,0.02892,8,1,7
14,MARL,0.00904,5.087595,5.059315,0.02828,12,8,4
15,MARL,0.009528,5.522817,5.492795,0.030023,10,7,3
16,MARL,0.010897,5.203552,5.173945,0.029607,8,4,4
17,MARL,0.012494,5.033116,5.00038,0.032736,6,5,1
18,MARL,0.011169,4.984251,4.950044,0.034207,8,6,2
19,MARL,0.013578,5.398931,5.360844,0.038088,4,2,2
20,MARL,0.012854,4.813972,4.77572,0.038252,6,3,3
21,MARL,0.01117,4.987399,4.948699,0.0387,8,4,4
22,MARL,0.009306,5.77155,5.743255,0.028296,10,6,4
23,MARL,0.011128,6.014073,5.983546,0.030527,6,2,4
24,MARL,0.013181,5.620108,5.583093,0.037015,4,2,2
25,MARL,0.012129,4.77574,4.741461,0.034279,7,5,2
26,MARL,0.013021,5.20629,5.177198,0.029092,5,4,1
27,MARL,0.00957,5.47562,5.446199,0.029422,10,2,8
28,MARL,0.011767,5.528429,5.49492,0.03351,6,3,3
29,MARL,0.011025,5.106674,5.066383,0.040291,8,4,4
30,MARL,0.00981,5.721285,5.690549,0.030736,9,4,5
31,MARL,0.011104,5.033522,5.002495,0.031026,8,4,4
32,MARL,0.010436,5.117022,5.078499,0.038523,9,4,5
33,MARL,0.009143,4.96673,4.934151,0.032579,12,4,8
34,MARL,0.010547,5.512693,5.477517,0.035176,8,6,2
35,MARL,0.010749,5.329649,5.300416,0.029232,8,3,5
36,MARL,0.010687,4.884175,4.853696,0.030479,9,5,4
37,MARL,0.008833,5.351835,5.317428,0.034407,12,3,9
38,MARL,0.01088,5.222857,5.187865,0.034992,8,4,4
39,MARL,0.008979,5.675392,5.632938,0.042454,11,4,7
40,MARL,0.011503,5.226589,5.189352,0.037237,7,3,4
41,MARL,0.008035,5.470596,5.442265,0.028331,14,9,5
42,MARL,0.010116,5.909119,5.882629,0.02649,8,4,4
43,MARL,0.010433,5.613288,5.582196,0.031092,8,6,2
44,MARL,0.00798,6.063224,6.027885,0.035339,13,6,7
45,MARL,0.010821,5.76959,5.738097,0.031493,7,2,5
46,MARL,0.012629,5.949072,5.914597,0.034474,4,3,1
47,MARL,0.012293,6.164958,6.131161,0.033797,4,2,2
48,MARL,0.011161,5.99218,5.956526,0.035654,6,1,5
49,MARL,0.010542,6.011229,5.983384,0.027845,7,4,3
50,MARL,0.008885,5.778738,5.752647,0.026092,11,3,8
51,MARL,0.009996,6.037367,6.000757,0.03661,8,2,6
52,MARL,0.010896,5.702123,5.675123,0.027,7,5,2
53,MARL,0.011806,5.499036,5.466676,0.03236,6,3,3
54,MARL,0.012309,6.153291,6.120598,0.032693,4,2,2
55,MARL,0.010223,5.814285,5.778714,0.035571,8,3,5
56,MARL,0.010057,5.97203,5.940157,0.031873,8,3,5
57,MARL,0.010355,6.196879,6.152302,0.044577,7,3,4
58,MARL,0.009748,5.788517,5.755238,0.033279,9,3,6
59,MARL,0.007957,5.594953,5.564833,0.03012,14,4,10
60,MARL,0.008264,6.128996,6.096732,0.032264,12,7,5
61,MARL,0.01069,5.377881,5.352226,0.025656,8,3,5
62,MARL,0.009634,5.90778,5.876415,0.031365,9,2,7
63,MARL,0.009598,5.443329,5.416033,0.027295,10,6,4
64,MARL,0.009527,5.516916,5.494556,0.02236,10,6,4
65,MARL,0.009357,5.21291,5.184863,0.028048,11,5,6
