episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
0,MARL,0.053596,1.368346,1.365517,0.002828,1,1,0
1,MARL,0.056808,1.261912,1.260137,0.001776,1,1,0
2,MARL,0.032337,1.093406,1.092284,0.001121,4,3,1
3,MARL,0.042821,1.336392,1.335197,0.001196,2,1,1
4,MARL,0.076895,0.801677,0.800342,0.001335,1,1,0
5,MARL,0.032391,1.088776,1.08716,0.001616,4,3,1
6,MARL,0.080633,1.24184,1.24,0.00184,0,0,0
7,MARL,0.038801,1.078095,1.077177,0.000917,3,3,0
8,MARL,0.045199,1.21333,1.212324,0.001006,2,2,0
9,MARL,0.060178,1.16271,1.161616,0.001094,1,0,1
10,MARL,0.076005,1.31741,1.315516,0.001894,0,0,0
11,MARL,0.06725,0.989129,0.986747,0.002382,1,1,0
12,MARL,0.064014,1.063713,1.061992,0.001722,1,0,1
13,MARL,0.055483,1.304116,1.302176,0.001941,1,1,0
14,MARL,0.087706,1.141731,1.14,0.001731,0,0,0
15,MARL,0.036665,1.229235,1.227189,0.002046,3,1,2
16,MARL,0.035626,1.309007,1.306747,0.002259,3,0,3
17,MARL,0.045276,1.210754,1.208463,0.002291,2,1,1
18,MARL,0.057562,1.238727,1.237083,0.001645,1,0,1
19,MARL,0.044396,1.253482,1.252355,0.001127,2,2,0
20,MARL,0.064854,1.043646,1.041734,0.001913,1,1,0
21,MARL,0.059807,1.173678,1.17185,0.001829,1,1,0
22,MARL,0.042721,0.842165,0.840604,0.00156,3,2,1
23,MARL,0.066572,1.003849,1.001955,0.001894,1,1,0
24,MARL,0.04972,1.013032,1.011063,0.001969,2,1,1
25,MARL,0.045446,1.202304,1.200227,0.002077,2,2,0
26,MARL,0.055342,1.308619,1.306747,0.001872,1,0,1
27,MARL,0.051929,1.427379,1.425517,0.001862,1,0,1
28,MARL,0.032452,1.082788,1.081374,0.001414,4,2,2
29,MARL,0.08445,1.18545,1.183979,0.001471,0,0,0
30,MARL,0.055753,1.295881,1.293363,0.002518,1,1,0
31,MARL,0.048439,1.065483,1.06435,0.001133,2,2,0
32,MARL,0.040127,0.993411,0.99191,0.001502,3,1,2
33,MARL,0.053765,0.861538,0.859767,0.001771,2,2,0
34,MARL,0.059097,1.193358,1.192009,0.001349,1,1,0
35,MARL,0.096851,1.033941,1.032361,0.00158,0,0,0
36,MARL,0.040982,0.941736,0.9399,0.001836,3,2,1
37,MARL,0.036007,1.278728,1.277073,0.001655,3,2,1
38,MARL,0.100433,0.997245,0.995516,0.00173,0,0,0
39,MARL,0.041298,0.922769,0.92126,0.00151,3,3,0
40,MARL,0.043611,1.294498,1.292808,0.00169,2,1,1
41,MARL,0.058134,1.221645,1.22,0.001645,1,0,1
42,MARL,0.069163,0.947061,0.94572,0.001341,1,1,0
43,MARL,0.065685,1.023822,1.022263,0.001559,1,0,1
44,MARL,0.041894,0.888374,0.886837,0.001537,3,1,2
45,MARL,0.067548,0.982439,0.98021,0.002229,1,1,0
46,MARL,0.099512,1.006516,1.004721,0.001795,0,0,0
47,MARL,0.064025,1.063358,1.061734,0.001624,1,1,0
48,MARL,0.064089,1.061514,1.06021,0.001304,1,1,0
49,MARL,0.064373,1.054653,1.053301,0.001352,1,1,0
50,MARL,0.058226,1.218456,1.217341,0.001115,1,0,1
51,MARL,0.039191,1.053133,1.051453,0.00168,3,3,0
52,MARL,0.065486,1.028374,1.026884,0.00149,1,1,0
53,MARL,0.068439,0.962634,0.960996,0.001637,1,1,0
54,MARL,0.039574,1.028383,1.026747,0.001636,3,0,3
55,MARL,0.036853,1.214578,1.213374,0.001204,3,1,2
56,MARL,0.05207,0.924843,0.92,0.004843,2,0,2
